article_id,date,week,headline,url,lead_paragraph,anticipation,sadness,joy,negative,trust,positive,surprise,disgust,anger,fear
nyt://article/e673e4ba-839a-5e51-8234-12629e66f504,2019/6/5 0:00,2019-23,b'How Updates in iOS 13 and Android Q Will Change Your Smartphone',https://www.nytimes.com/2019/06/05/technology/personaltech/ios-android-2019-updates.html,"Year after year, Apple and Google announce big upgrades for their smartphone operating systems. That means the software that makes your phone tick is about to change — again.",0,0,0,0,0.034482759,0,0,0,0,0
nyt://article/99ed1736-7e77-59f4-9f3f-e3a63a4d5e98,2019/6/10 0:00,2019-24,b'Anger at Big Tech Unites Noodle Pullers and Code Writers',https://www.nytimes.com/2019/06/10/technology/big-tech-antitrust-scrutiny.html,SAN FRANCISCO — Oracle and the Handpulled Noodle would seem to have little in common. One is a multibillion-dollar software company in Silicon Valley with tens of thousands of employees all over the world. The other is a small Harlem spot that serves Chinese comfort food and is known for its tasty dumplings.,0.037735849,0,0,0,0,0.056603774,0.018867925,0,0.018867925,0.037735849
nyt://article/42fe69d0-ff27-568d-b38e-9fd087e0b9df,2019/6/18 0:00,2019-25,b'Google Pledges to Invest $1 Billion to Ease Bay Area Housing Crisis',https://www.nytimes.com/2019/06/18/technology/google-1-billion-housing-crisis.html,"SAN FRANCISCO — In 1998, Google paid $1,700 a month to rent its first office — half a home, including the garage, in Silicon Valley. What a deal.",0,0,0,0,0,0.035714286,0,0,0,0
nyt://article/4b2c0c2c-efe4-52b2-a8e3-0d693d32caf4,2019/6/26 0:00,2019-26,b'Google and the University of Chicago Are Sued Over Data Sharing',https://www.nytimes.com/2019/06/26/technology/google-university-chicago-data-sharing-lawsuit.html,"SAN FRANCISCO — When the University of Chicago Medical Center announced a partnership to share patient data with Google in 2017, the alliance was promoted as a way to unlock information trapped in electronic health records and improve predictive analysis in medicine.",0.095238095,0,0,0,0,0.119047619,0.071428571,0,0,0.047619048
nyt://article/be08cd53-0624-52a8-9ab5-30c0ec612370,2019/7/7 0:00,2019-27,b'I Used Google Ads for Social Engineering. It Worked.',https://www.nytimes.com/2019/07/07/opinion/google-ads.html,Kevin Hines had one thought as he plummeted toward the Pacific Ocean: I can change anything in my life except the fact that I just jumped from the Golden Gate Bridge.,0.032258065,0,0,0,0.032258065,0,0.032258065,0,0,0
nyt://interactive/5fded685-df4d-5272-8eed-a12876f70c2e,2019/7/10 0:00,2019-28,"b'Google\xe2\x80\x99s 4,000-Word Privacy Policy Is a Secret History of the Internet'",https://www.nytimes.com/interactive/2019/07/10/opinion/google-privacy-policy.html,"How a nascent search engine became a tech behemoth, one edit at a time.",0,0,0,0,0,0,0.071428571,0,0,0
nyt://article/d3183ca5-a525-57d0-8c5e-0553099ed9a4,2019/7/15 0:00,2019-29,b'A Feisty Google Adversary Tests How Much People Care About Privacy',https://www.nytimes.com/2019/07/15/technology/duckduckgo-private-search.html,"PAOLI, Pa. — Gabriel Weinberg is taking aim at Google from a small building 20 miles west of Philadelphia that looks like a fake castle. An optometrist has an office downstairs.",0,0,0,0,0,0.032258065,0,0,0.064516129,0
nyt://article/b3c14336-aabf-5d53-8724-b065750082ff,2019/7/25 0:00,2019-30,"b'Tulsi Gabbard, Democratic Presidential Candidate, Sues Google for $50 Million'",https://www.nytimes.com/2019/07/25/technology/tulsi-gabbard-sues-google.html,"Representative Tulsi Gabbard, the long-shot presidential candidate from Hawaii, said in a federal lawsuit that Google infringed on her free speech when it briefly suspended her campaign’s advertising account after the first Democratic debate in June.",0.027777778,0.027777778,0.027777778,0.027777778,0.027777778,0.083333333,0,0.027777778,0.027777778,0
nyt://article/e992fe0d-b6b7-5ab3-927f-543b56894880,2019/7/25 0:00,2019-30,b'Alphabet Earnings: Profits Triple and Slump Worries Ease',https://www.nytimes.com/2019/07/25/technology/alphabet-earnings.html,"The slump at Google’s parent company, Alphabet, appears to have been brief.",0,0,0,0.083333333,0,0,0,0,0.083333333,0
nyt://article/62021912-cb49-5034-9885-db7a427a3284,2019/8/2 0:00,2019-31,"b'Good for Google, Bad for America'",https://www.nytimes.com/2019/08/01/opinion/peter-thiel-google.html,"A “Manhattan Project” for artificial intelligence is how Demis Hassabis, the founder of DeepMind, described his company in 2010, when I was one of its first investors. I took it as figurative grandiosity. I should have taken it as a literal warning sign, because that is how it was taken in foreign capitals that were paying close attention.",0.017241379,0,0,0,0.034482759,0.017241379,0,0,0.017241379,0.017241379
nyt://article/beda222a-8f61-5b5a-ac08-6f6fa5a8277f,2019/8/5 0:00,2019-32,b'Senators Urge Google to Give Temporary Workers Full-Time Status',https://www.nytimes.com/2019/08/05/technology/senate-google-temp-workers.html,"A group of Democratic senators has demanded in a letter sent to Google’s chief executive, Sundar Pichai, that the internet giant convert its more than 120,000 temporary and contract workers to full-time employees.",0,0,0,0,0.03030303,0.03030303,0.03030303,0,0,0
nyt://article/3066c1e2-6cc5-5c5a-9c6c-c15e4a70ca39,2019/8/23 0:00,2019-34,b'Google Tries to Corral Its Staff After Ugly Internal Debates',https://www.nytimes.com/2019/08/23/technology/google-culture-rules.html,Google has long prided itself on a workplace culture in which employees are encouraged to speak their minds and engage in philosophical debates.,0,0,0,0,0,0.043478261,0.043478261,0,0,0
